ERSS Medical Keywords,Information Type,Annot Label,ERSS Table,CUI,Concept Name,Concept Type,Concept Dictionary,Attribute,Notes
mandibular advancement device,procedure,,Schedular Evidence,C2091299,Mandibular Advancement Devices,umls.TherapeuticOrPreventiveProcedure,Sleep Apnea Concepts,ExplicitProcedure,
maxillomandibular advancement,procedure,,Schedular Evidence,C4763926,Maximandibular Advancement Surgery,umls.TherapeuticOrPreventiveProcedure,Sleep Apnea Concepts,ExplicitProcedure,
Midline glossectomy and base of tongue reduction,procedure,,Schedular Evidence,C0017673,Midline glossectomy and base of tongue reduction,umls.TherapeuticOrPreventiveProcedure,Sleep Apnea Concepts,ExplicitProcedure,
nasal dilator,procedure,,Schedular Evidence,SAC-00013,Nasal Dilator,umls.TherapeuticOrPreventiveProcedure,Sleep Apnea Concepts,ExplicitProcedure,
nasopharyngeal appliance,procedure,,Schedular Evidence,SAC-00012,Nasopharyngeal Appliance,umls.TherapeuticOrPreventiveProcedure,Sleep Apnea Concepts,ExplicitProcedure,
nasopharyngeal stent,procedure,,Schedular Evidence,SAC-00014,Nasopharyngeal Stent,umls.TherapeuticOrPreventiveProcedure,Sleep Apnea Concepts,ExplicitProcedure,
NIPPV,procedure,,Schedular Evidence,C1455871,Non-invasive positive pressure (NIPPV),umls.TherapeuticOrPreventiveProcedure,Sleep Apnea Concepts,TherapeuticProcedure,
non-invasive ventilation,procedure,,Schedular Evidence,C1997883,Noninvasive Ventilation,umls.TherapeuticOrPreventiveProcedure,UMLS 2020AA,TherapeuticProcedure,
oral appliance,procedure,,Schedular Evidence,SAC-00019,Oral Appliance,umls.TherapeuticOrPreventiveProcedure,Sleep Apnea Concepts,ExplicitProcedure,
PAP therapy,procedure,,Schedular Evidence,C4763952,Positive Airway Pressure Therapies,umls.TherapeuticOrPreventiveProcedure,UMLS 2020AA,TherapeuticProcedure,
polysomnography,procedure,,Other Medical Evidence,C0162701,Polysomnography,umls.DiagnosticProcedure,UMLS 2020AA,DiagnosticProcedure,
positive airway pressure,procedure,,Schedular Evidence,C4763952,Positive Airway Pressure Therapies,umls.TherapeuticOrPreventiveProcedure,Sleep Apnea Concepts,TherapeuticProcedure,
positive pressure ventilation,procedure,,Schedular Evidence,C3266857,Positive-Pressure Respiration,umls.TherapeuticOrPreventiveProcedure,UMLS 2020AA,TherapeuticProcedure,
sleep apnea test,procedure,,Other Medical Evidence,SAC-00010,Sleep Apnea Test,umls.DiagnosticProcedure,Sleep Apnea Concepts,DiagnosticProcedure,
sleep clinic,procedure,,Other Medical Evidence,SAC-00001,Sleep Clinic,umls.DiagnosticProcedure,Sleep Apnea Concepts,DiagnosticProcedure,
sleep study,procedure,,Other Medical Evidence,C0162701,Polysomnography,umls.DiagnosticProcedure,UMLS 2020AA,DiagnosticProcedure,
sleep test,procedure,,Other Medical Evidence,C0162701,Polysomnography,umls.DiagnosticProcedure,UMLS 2020AA,DiagnosticProcedure,
tongue retaining device,procedure,,Schedular Evidence,SAC-00015,Tongue Retaining Device,umls.TherapeuticOrPreventiveProcedure,Sleep Apnea Concepts,ExplicitProcedure,
tongue retaining mouthpiece,procedure,,Schedular Evidence,SAC-00015,Tongue Retaining Device,umls.TherapeuticOrPreventiveProcedure,Sleep Apnea Concepts,ExplicitProcedure,
tongue-retaining mouthpiece,procedure,,Schedular Evidence,SAC-00015,Tongue Retaining Device,umls.TherapeuticOrPreventiveProcedure,Sleep Apnea Concepts,ExplicitProcedure,
tracheostomy,procedure,,Schedular Evidence,C0040590,Tracheostomy procedure,umls.TherapeuticOrPreventiveProcedure,UMLS 2020AA,TherapeuticProcedure,
